Issuekey,IssueId,Summary,Complexity,Component1,Component2,Component3,TestCoverage
EBBT-8616,1103677,[REGRESSION] Daily pass (QR Code) management in J-World backoffice and for Membership flow,M,Regression Test,,,
EBBT-8503,1069271,State Programs for JPS Stations,M,Regression Test,,,0%
EBBT-7848,874870,"[REGRESSION-CAAT] Implement a set of new features on ""Points card"" product profile",S,Regression Test,,,
EBBT-8623,1105249,"[REGRESSION]  LATAM - Panama fiscal printer integration (OP-313, OP-543)",M,Regression Test,,,0%
EBBT-7507,802584,[REGRESSION] Parclick integration with JW booking extension,XS,Regression Test,,,
EBBT-5206,397951,[REGRESSION] JMS License Check,S,Regression Test,,,
EBBT-6987,662690,[REGRESSION] ViaVerde integration,M,Regression Test,,,
EBBT-6264,486210,[REGRESSION-CAAT] JWorld Account Management (ValueCard),M,Regression Test,,,
EBBT-6614,522542,[REGRESSION-CLOUD] Stress Test,XS,Automated Test,Cloud,Regression Test,
EBBT-7912,889536,[REGRESSION-CLOUD] Update & Maintenance Notification,S,Cloud,Regression Test,,
EBBT-7847,874869,[REGRESSION-CAAT] J-World backoffice allows to create and configure own accounts,M,Regression Test,,,
EBBT-5229,397977,[REGRESSION] LPR Blocked list/Warning list,XS,Automated Test,Regression Test,,
EBBT-7429,775371,[REGRESSION] ZatPark integration,S,Regression Test,,,
EBBT-5205,397950,[REGRESSION] Lost Ticket,S,Regression Test,,,
EBBT-8245,1005088,[JMS - Data Export] Data Export tile,XS,Regression Test,,,
EBBT-8223,994522,[REGRESSION-CAAT] JW Backoffice allows to activate Membership feature to be used for selected sites,,Regression Test,,,
EBBT-8219,992739,[REGRESSION] APS money movement's receipt improvement,S,Regression Test,,,
EBBT-5185,397928,[REGRESSION] FCJ and FCJ In-lane,L,Regression Test,,,
EBBT-5191,397935,[REGRESSION] JWorld,M,Regression Test,,,
EBBT-6618,522546,[REGRESSION-CLOUD] External services,,Cloud,Regression Test,,
EBBT-8588,1101878,[REGRESSION] LATAM - Allow Exit with amount Zero option,XS,Regression Test,,,0%
EBBT-5901,456905,[REGRESSION] Access Reader,S,Regression Test,,,
EBBT-8222,994521,[REGRESSION-CAAT] Implement alarm to detect usage of other media type on behalf of license plate at parking entrance,,Regression Test,,,
EBBT-7668,837116,[REGRESSION] Plate Search Online-Offline,M,Regression Test,,,
EBBT-5799,450046,[REGRESSION] Payment on Phone,S,Regression Test,,,
EBBT-8221,994520,[REGRESSION] Rate condition that allows to apply fee when user transits are within a defined peripheral sequence,XS,Regression Test,,,0%
EBBT-7785,859870,[REGRESSION] - BWI Custom Country Tax,S,Regression Test,,,
EBBT-5195,397939,[REGRESSION] Time Based Management,,Automated Test,Regression Test,,
EBBT-7832,867880,[REGRESSION] FCJ Remote Supervisor Approval for Insufficient Funds & Without Remote Approval,L,Regression Test,,,
EBBT-5839,453956,[REGRESSION] Apply validation based on triggered input & Emergency mode,,Regression Test,,,
EBBT-7459,785370,[REGRESSION] TransCore Contract Media Type,S,Regression Test,,,
EBBT-8139,973332,[REGRESSION] FCJ Remote Supervisor Approval by JMS user - Discounts,M,Regression Test,,,
EBBT-7908,889531,[REGRESSION-CLOUD] Backward Compatibility,M,Cloud,Regression Test,,25%
EBBT-5889,456577,[REGRESSION] FCJ Hendheld,M,Regression Test,,,
EBBT-6617,522545,[REGRESSION-CLOUD] Vouchers ,,Cloud,Regression Test,,
EBBT-6272,486239,[REGRESSION] Reserve a place in JMS for JPass bookings,S,Regression Test,,,
